date,player,tm,game,prop,line,rec,book,odds,ev,rank,in_top10,in_ev25,actual,result,units,real_odds
20260517,Dearica Hamby,LA,TOR @ LA,Rebounds,7.5,OVER,,-110,56.2,4,True,True,9,WIN,0.9091,False
20260517,Nyara Sabally,TOR,TOR @ LA,Points,9.5,UNDER,,-110,55.1,5,True,True,7,WIN,0.9091,False
20260517,Kelsey Plum,LA,TOR @ LA,Points,21.5,UNDER,,-110,54.6,6,True,True,28,LOSS,-1.0,False
20260517,Brittney Sykes,TOR,TOR @ LA,Points,17.5,UNDER,,-110,53.6,7,True,True,38,LOSS,-1.0,False
20260517,Olivia Miles,MIN,CHI @ MIN,Points,15.5,OVER,,-110,52.0,8,True,True,13,LOSS,-1.0,False
20260517,Natisha Hiedeman,SEA,SEA @ IND,Rebounds,2.5,UNDER,,-110,49.8,9,True,True,2,WIN,0.9091,False
20260517,Nyara Sabally,TOR,TOR @ LA,Rebounds,6.5,UNDER,,-110,49.0,10,True,True,4,WIN,0.9091,False
20260517,Jade Melbourne,SEA,SEA @ IND,Points,10.5,UNDER,,-110,41.4,11,False,True,12,LOSS,-1.0,False
20260517,Sophie Cunningham,IND,SEA @ IND,Rebounds,2.5,UNDER,,-110,39.9,12,False,True,3,LOSS,-1.0,False
20260517,Stefanie Dolson,SEA,SEA @ IND,Points,8.5,UNDER,,-110,39.8,13,False,True,6,WIN,0.9091,False
20260517,Erica Wheeler,LA,TOR @ LA,Points,10.5,UNDER,,-110,39.6,14,False,True,4,WIN,0.9091,False
20260517,Nia Coffey,MIN,CHI @ MIN,Rebounds,6.5,UNDER,,-110,39.0,15,False,True,3,WIN,0.9091,False
20260517,Monique Billings,IND,SEA @ IND,Points,9.5,UNDER,,-110,35.1,16,False,True,4,WIN,0.9091,False
20260517,Flau'jae Johnson,SEA,SEA @ IND,Rebounds,4.5,OVER,,-110,33.2,17,False,True,6,WIN,0.9091,False
20260517,Nneka Ogwumike,LA,TOR @ LA,Points,17.5,UNDER,,-110,29.9,18,False,True,17,WIN,0.9091,False
20260517,Kamilla Cardoso,CHI,CHI @ MIN,Points,13.5,OVER,,-110,28.4,19,False,True,11,LOSS,-1.0,False
20260518,Arike Ogunbowale,DAL,WSH @ DAL,Points,17.5,UNDER,,-110,67.7,1,True,True,16,WIN,0.9091,False
20260518,Carla Leite,POR,CON @ POR,Points,16.5,UNDER,,-110,58.2,2,True,True,,VOID,0.0,False
20260518,Alanna Smith,DAL,WSH @ DAL,Points,8.5,UNDER,,-110,54.1,3,True,True,3,WIN,0.9091,False
